Organization,Repository,IssueNbr,LabelName,LabelDescription,LabelDefaultTag,CreatedAt,ClosedAt,Assignees
hackforla,project-groups,10,null,null,null,2017-05-24T01:48:58Z,,0
hackforla,project-groups,9,null,null,null,2017-03-05T19:26:01Z,,0
hackforla,project-groups,8,null,null,null,2017-02-08T04:43:01Z,,0
hackforla,project-groups,7,null,null,null,2017-02-08T02:11:08Z,2017-02-08T04:35:58Z,0
hackforla,project-groups,6,null,null,null,2016-12-07T22:14:02Z,,0
hackforla,project-groups,5,null,null,null,2016-12-07T19:01:26Z,,0
hackforla,project-groups,4,null,null,null,2016-12-07T03:52:00Z,2016-12-07T04:09:29Z,0
hackforla,project-groups,3,null,null,null,2016-10-21T04:44:49Z,2016-11-15T19:27:04Z,0
hackforla,project-groups,2,null,null,null,2016-10-21T04:42:30Z,2016-10-21T04:43:34Z,0
hackforla,project-groups,1,null,null,null,2015-07-12T16:48:33Z,2015-07-13T01:25:28Z,0
hackforla,food-oasis-la,205,null,null,null,2019-10-02T03:22:41Z,2019-11-12T17:33:04Z,1
hackforla,food-oasis-la,204,null,null,null,2019-10-02T03:21:34Z,2019-10-16T02:50:26Z,2
hackforla,food-oasis-la,203,null,null,null,2019-10-02T03:21:23Z,2019-10-16T02:56:27Z,1
hackforla,food-oasis-la,202,null,null,null,2019-10-02T03:21:07Z,2019-10-16T02:58:55Z,1
hackforla,food-oasis-la,199,null,null,null,2019-10-02T03:20:25Z,2019-10-16T02:58:05Z,1
hackforla,food-oasis-la,215,null,null,null,2019-09-25T03:18:47Z,,0
hackforla,food-oasis-la,168,null,null,null,2018-04-23T20:56:27Z,2018-04-23T20:56:59Z,0
hackforla,food-oasis-la,167,null,null,null,2017-11-21T22:21:38Z,2017-11-21T22:49:43Z,0
hackforla,food-oasis-la,166,null,null,null,2017-10-28T15:02:26Z,2019-11-13T17:32:53Z,0
hackforla,food-oasis-la,165,null,null,null,2017-10-27T21:59:57Z,2017-10-27T22:55:44Z,0
hackforla,food-oasis-la,164,null,null,null,2017-10-26T03:44:06Z,2017-10-26T03:47:18Z,0
hackforla,food-oasis-la,163,null,null,null,2017-10-26T03:28:55Z,2017-10-26T03:31:06Z,0
hackforla,food-oasis-la,162,null,null,null,2017-10-18T04:01:29Z,2017-10-19T02:01:56Z,0
hackforla,food-oasis-la,161,null,null,null,2017-10-05T02:11:16Z,2017-10-12T03:09:56Z,0
hackforla,food-oasis-la,160,null,null,null,2017-10-05T02:09:22Z,2017-10-12T03:09:56Z,0
hackforla,food-oasis-la,159,null,null,null,2017-09-27T02:11:52Z,2017-09-27T02:27:31Z,0
hackforla,food-oasis-la,158,null,null,null,2017-09-27T01:52:35Z,2017-09-27T02:29:56Z,0
hackforla,food-oasis-la,157,idea,,False,2017-09-20T04:03:02Z,2019-11-18T19:53:38Z,0
hackforla,food-oasis-la,156,null,null,null,2017-09-20T03:29:09Z,2017-09-20T03:30:48Z,0
hackforla,food-oasis-la,155,null,null,null,2017-09-20T02:09:36Z,2017-09-21T02:13:48Z,0
hackforla,food-oasis-la,154,null,null,null,2017-09-13T03:21:59Z,2017-09-14T03:16:15Z,0
hackforla,food-oasis-la,153,null,null,null,2017-09-13T02:51:10Z,2017-09-14T02:50:11Z,0
hackforla,food-oasis-la,152,null,null,null,2017-09-13T02:41:33Z,2017-09-14T02:53:11Z,0
hackforla,food-oasis-la,151,null,null,null,2017-09-13T02:33:15Z,2017-09-14T02:52:52Z,0
hackforla,food-oasis-la,150,null,null,null,2017-09-13T02:26:07Z,2017-09-14T03:12:10Z,0
hackforla,food-oasis-la,149,null,null,null,2017-09-13T02:03:10Z,2017-09-13T02:04:23Z,0
hackforla,food-oasis-la,147,null,null,null,2017-08-31T02:43:26Z,2017-08-31T02:46:33Z,0
hackforla,food-oasis-la,146,null,null,null,2017-08-31T02:36:21Z,2017-08-31T02:37:54Z,0
hackforla,food-oasis-la,145,null,null,null,2017-08-26T18:17:15Z,2017-08-26T18:19:14Z,0
hackforla,food-oasis-la,144,null,null,null,2017-08-26T18:13:29Z,2017-08-26T18:19:14Z,0
hackforla,food-oasis-la,143,null,null,null,2017-08-26T16:58:23Z,2017-08-26T18:19:14Z,0
hackforla,food-oasis-la,142,null,null,null,2017-08-26T16:57:00Z,2017-08-26T18:19:14Z,0
hackforla,food-oasis-la,141,null,null,null,2017-08-26T16:53:59Z,2017-08-26T18:19:14Z,0
hackforla,food-oasis-la,140,null,null,null,2017-08-25T23:41:25Z,2017-08-26T05:55:06Z,0
hackforla,food-oasis-la,139,null,null,null,2017-08-25T23:36:36Z,2017-08-26T05:55:06Z,0
hackforla,food-oasis-la,138,null,null,null,2017-08-25T23:32:00Z,2017-08-26T05:55:06Z,0
hackforla,food-oasis-la,137,null,null,null,2017-08-24T19:32:13Z,2017-08-26T05:55:06Z,0
hackforla,food-oasis-la,136,null,null,null,2017-08-24T02:44:56Z,2017-08-26T05:55:06Z,0
hackforla,food-oasis-la,135,null,null,null,2017-08-23T02:58:56Z,2017-08-26T05:55:06Z,0
hackforla,food-oasis-la,134,null,null,null,2017-08-13T00:18:39Z,2017-08-13T00:18:57Z,0
hackforla,food-oasis-la,133,writing,,False,2017-08-09T03:19:10Z,2019-11-16T22:43:43Z,0
hackforla,food-oasis-la,131,null,null,null,2017-08-09T02:37:55Z,2017-08-12T18:02:15Z,0
hackforla,food-oasis-la,130,null,null,null,2017-08-09T02:34:39Z,2017-08-12T18:02:02Z,0
hackforla,food-oasis-la,129,null,null,null,2017-07-29T00:55:03Z,2017-08-12T17:53:45Z,0
hackforla,food-oasis-la,128,null,null,null,2017-07-29T00:24:20Z,2017-08-12T17:53:45Z,0
hackforla,food-oasis-la,125,null,null,null,2017-07-19T17:32:04Z,2017-07-19T17:32:58Z,0
hackforla,food-oasis-la,124,null,null,null,2017-07-19T03:09:02Z,2017-08-12T17:53:45Z,0
hackforla,food-oasis-la,123,beginner friendly,,False,2017-07-19T02:20:05Z,2017-08-13T00:05:37Z,0
hackforla,food-oasis-la,123,1,,False,2017-07-19T02:20:05Z,2017-08-13T00:05:37Z,0
hackforla,food-oasis-la,120,code,,False,2017-07-19T02:11:57Z,2019-11-16T22:46:52Z,0
hackforla,food-oasis-la,120,beginner friendly,,False,2017-07-19T02:11:57Z,2019-11-16T22:46:52Z,0
hackforla,food-oasis-la,120,1,,False,2017-07-19T02:11:57Z,2019-11-16T22:46:52Z,0
hackforla,food-oasis-la,119,design,,False,2017-07-19T02:11:13Z,2019-11-03T22:27:11Z,0
hackforla,food-oasis-la,119,code,,False,2017-07-19T02:11:13Z,2019-11-03T22:27:11Z,0
hackforla,food-oasis-la,118,design,,False,2017-07-19T02:09:25Z,2019-11-16T22:44:17Z,0
hackforla,food-oasis-la,118,code,,False,2017-07-19T02:09:25Z,2019-11-16T22:44:17Z,0
hackforla,food-oasis-la,118,beginner friendly,,False,2017-07-19T02:09:25Z,2019-11-16T22:44:17Z,0
hackforla,food-oasis-la,118,1,,False,2017-07-19T02:09:25Z,2019-11-16T22:44:17Z,0
hackforla,food-oasis-la,113,design,,False,2017-07-19T01:28:57Z,2017-07-19T01:45:26Z,0
hackforla,food-oasis-la,113,code,,False,2017-07-19T01:28:57Z,2017-07-19T01:45:26Z,0
hackforla,food-oasis-la,113,idea,,False,2017-07-19T01:28:57Z,2017-07-19T01:45:26Z,0
hackforla,food-oasis-la,112,null,null,null,2017-07-19T01:27:08Z,2017-08-12T17:53:45Z,0
hackforla,food-oasis-la,111,null,null,null,2017-07-15T03:39:16Z,2017-07-15T03:40:29Z,0
hackforla,food-oasis-la,110,null,null,null,2017-07-14T23:56:11Z,2017-08-12T17:53:45Z,0
hackforla,food-oasis-la,109,null,null,null,2017-07-14T23:40:38Z,2017-08-12T17:53:45Z,0
hackforla,food-oasis-la,108,null,null,null,2017-07-14T23:33:00Z,2017-08-12T17:53:45Z,0
hackforla,food-oasis-la,107,null,null,null,2017-07-14T23:28:07Z,2017-08-12T17:53:45Z,0
hackforla,food-oasis-la,106,null,null,null,2017-07-14T01:48:10Z,2017-07-14T01:49:16Z,0
hackforla,food-oasis-la,105,null,null,null,2017-07-13T23:40:02Z,2017-07-13T23:50:21Z,0
hackforla,food-oasis-la,104,null,null,null,2017-07-13T23:34:07Z,2017-07-13T23:50:21Z,0
hackforla,food-oasis-la,103,null,null,null,2017-07-13T23:18:33Z,2017-07-13T23:50:21Z,0
hackforla,food-oasis-la,102,null,null,null,2017-07-13T22:16:47Z,2017-07-13T22:17:08Z,0
hackforla,food-oasis-la,101,null,null,null,2017-07-13T21:53:01Z,2017-07-13T23:50:21Z,0
hackforla,food-oasis-la,100,null,null,null,2017-07-13T21:51:46Z,2017-07-13T23:50:21Z,0
hackforla,food-oasis-la,99,null,null,null,2017-07-13T21:26:11Z,2017-07-13T23:50:21Z,0
hackforla,food-oasis-la,98,null,null,null,2017-07-13T20:55:23Z,2017-07-13T23:50:21Z,0
hackforla,food-oasis-la,97,null,null,null,2017-07-13T20:52:02Z,2017-07-13T23:50:21Z,0
hackforla,food-oasis-la,96,null,null,null,2017-07-05T17:28:10Z,2017-07-13T23:50:21Z,0
hackforla,food-oasis-la,94,design,,False,2017-06-28T03:38:21Z,2017-07-19T02:42:35Z,0
hackforla,food-oasis-la,94,code,,False,2017-06-28T03:38:21Z,2017-07-19T02:42:35Z,0
hackforla,food-oasis-la,94,beginner friendly,,False,2017-06-28T03:38:21Z,2017-07-19T02:42:35Z,0
hackforla,food-oasis-la,93,design,,False,2017-06-28T03:27:39Z,2017-10-19T08:23:18Z,0
hackforla,food-oasis-la,93,code,,False,2017-06-28T03:27:39Z,2017-10-19T08:23:18Z,0
hackforla,food-oasis-la,93,beginner friendly,,False,2017-06-28T03:27:39Z,2017-10-19T08:23:18Z,0
hackforla,food-oasis-la,93,1,,False,2017-06-28T03:27:39Z,2017-10-19T08:23:18Z,0
hackforla,food-oasis-la,92,design,,False,2017-06-28T03:21:08Z,2017-08-13T00:05:51Z,0
hackforla,food-oasis-la,92,code,,False,2017-06-28T03:21:08Z,2017-08-13T00:05:51Z,0
hackforla,food-oasis-la,92,beginner friendly,,False,2017-06-28T03:21:08Z,2017-08-13T00:05:51Z,0
hackforla,food-oasis-la,92,2,,False,2017-06-28T03:21:08Z,2017-08-13T00:05:51Z,0
hackforla,food-oasis-la,89,bug,,True,2017-06-28T01:39:22Z,2019-11-18T19:54:30Z,0
hackforla,food-oasis-la,89,code,,False,2017-06-28T01:39:22Z,2019-11-18T19:54:30Z,0
hackforla,food-oasis-la,89,2,,False,2017-06-28T01:39:22Z,2019-11-18T19:54:30Z,0
hackforla,food-oasis-la,88,code,,False,2017-06-28T01:36:39Z,2017-07-19T01:26:36Z,0
hackforla,food-oasis-la,87,beginner friendly,,False,2017-06-23T05:45:38Z,2017-08-09T02:38:43Z,0
hackforla,food-oasis-la,87,data,,False,2017-06-23T05:45:38Z,2017-08-09T02:38:43Z,0
hackforla,food-oasis-la,87,1,,False,2017-06-23T05:45:38Z,2017-08-09T02:38:43Z,0
hackforla,food-oasis-la,85,beginner friendly,,False,2017-06-23T00:34:44Z,2017-07-26T02:57:27Z,0
hackforla,food-oasis-la,85,1,,False,2017-06-23T00:34:44Z,2017-07-26T02:57:27Z,0
hackforla,food-oasis-la,84,idea,,False,2017-06-23T00:28:30Z,2019-11-16T22:37:21Z,0
hackforla,food-oasis-la,83,idea,,False,2017-06-23T00:10:54Z,2019-11-03T22:09:19Z,0
hackforla,food-oasis-la,83,1,,False,2017-06-23T00:10:54Z,2019-11-03T22:09:19Z,0
hackforla,food-oasis-la,82,design,,False,2017-06-22T23:59:43Z,2017-10-05T02:21:59Z,0
hackforla,food-oasis-la,82,code,,False,2017-06-22T23:59:43Z,2017-10-05T02:21:59Z,0
hackforla,food-oasis-la,82,2,,False,2017-06-22T23:59:43Z,2017-10-05T02:21:59Z,0
hackforla,food-oasis-la,81,beginner friendly,,False,2017-06-22T23:39:06Z,2019-11-16T22:51:21Z,0
hackforla,food-oasis-la,81,1,,False,2017-06-22T23:39:06Z,2019-11-16T22:51:21Z,0
hackforla,food-oasis-la,80,beginner friendly,,False,2017-06-22T23:15:42Z,2017-09-14T03:07:49Z,0
hackforla,food-oasis-la,80,data,,False,2017-06-22T23:15:42Z,2017-09-14T03:07:49Z,0
hackforla,food-oasis-la,80,1,,False,2017-06-22T23:15:42Z,2017-09-14T03:07:49Z,0
hackforla,food-oasis-la,79,beginner friendly,,False,2017-06-22T23:07:20Z,2017-09-14T03:21:39Z,0
hackforla,food-oasis-la,79,data,,False,2017-06-22T23:07:20Z,2017-09-14T03:21:39Z,0
hackforla,food-oasis-la,79,1,,False,2017-06-22T23:07:20Z,2017-09-14T03:21:39Z,0
hackforla,food-oasis-la,77,beginner friendly,,False,2017-06-22T22:49:17Z,2017-08-31T03:15:11Z,2
hackforla,food-oasis-la,77,data,,False,2017-06-22T22:49:17Z,2017-08-31T03:15:11Z,2
hackforla,food-oasis-la,77,1,,False,2017-06-22T22:49:17Z,2017-08-31T03:15:11Z,2
hackforla,food-oasis-la,76,beginner friendly,,False,2017-06-22T21:09:59Z,2017-10-03T23:43:12Z,0
hackforla,food-oasis-la,76,data,,False,2017-06-22T21:09:59Z,2017-10-03T23:43:12Z,0
hackforla,food-oasis-la,76,1,,False,2017-06-22T21:09:59Z,2017-10-03T23:43:12Z,0
hackforla,food-oasis-la,73,code,,False,2017-06-22T07:44:26Z,2017-10-05T03:06:56Z,0
hackforla,food-oasis-la,70,code,,False,2017-06-22T05:17:41Z,2019-11-18T19:54:30Z,0
hackforla,food-oasis-la,70,2,,False,2017-06-22T05:17:41Z,2019-11-18T19:54:30Z,0
hackforla,food-oasis-la,69,null,null,null,2017-06-22T04:35:20Z,2017-06-22T04:35:31Z,0
hackforla,food-oasis-la,68,design,,False,2017-06-21T00:20:20Z,2019-11-03T22:32:50Z,0
hackforla,food-oasis-la,68,code,,False,2017-06-21T00:20:20Z,2019-11-03T22:32:50Z,0
hackforla,food-oasis-la,67,writing,,False,2017-06-21T00:11:05Z,2017-09-14T03:17:59Z,0
hackforla,food-oasis-la,67,beginner friendly,,False,2017-06-21T00:11:05Z,2017-09-14T03:17:59Z,0
hackforla,food-oasis-la,65,null,null,null,2017-06-14T05:54:09Z,2017-06-14T18:01:36Z,0
hackforla,food-oasis-la,64,null,null,null,2017-06-14T03:47:15Z,2017-06-14T03:53:11Z,0
hackforla,food-oasis-la,63,null,null,null,2017-06-13T07:03:31Z,2017-06-13T07:03:59Z,0
hackforla,food-oasis-la,62,null,null,null,2017-06-08T20:55:12Z,2017-06-08T20:55:24Z,0
hackforla,food-oasis-la,61,null,null,null,2017-06-08T18:54:35Z,2017-06-08T20:09:11Z,0
hackforla,food-oasis-la,60,null,null,null,2017-06-08T02:04:19Z,2017-06-08T18:57:50Z,0
hackforla,food-oasis-la,59,null,null,null,2017-06-07T05:41:17Z,2017-06-07T16:35:59Z,0
hackforla,food-oasis-la,58,null,null,null,2017-06-01T22:12:15Z,2017-06-01T22:42:24Z,0
hackforla,food-oasis-la,57,null,null,null,2017-06-01T21:38:55Z,2017-06-01T21:39:40Z,0
hackforla,food-oasis-la,56,null,null,null,2017-06-01T21:22:45Z,2017-06-01T21:29:45Z,0
hackforla,food-oasis-la,55,null,null,null,2017-06-01T20:35:42Z,2017-06-01T21:15:50Z,0
hackforla,food-oasis-la,54,null,null,null,2017-06-01T06:50:15Z,2017-06-01T20:32:52Z,0
hackforla,food-oasis-la,53,null,null,null,2017-06-01T01:05:01Z,2017-06-01T01:05:20Z,0
hackforla,food-oasis-la,52,null,null,null,2017-06-01T00:55:09Z,2017-06-01T00:55:58Z,0
hackforla,food-oasis-la,51,null,null,null,2017-05-31T23:08:35Z,2017-06-01T00:54:11Z,0
hackforla,food-oasis-la,50,null,null,null,2017-05-31T22:28:36Z,2017-05-31T23:07:29Z,0
hackforla,food-oasis-la,49,null,null,null,2017-05-31T22:16:06Z,2017-05-31T22:22:26Z,0
hackforla,food-oasis-la,48,null,null,null,2017-05-31T03:42:38Z,2017-05-31T22:22:32Z,0
hackforla,food-oasis-la,46,code,,False,2017-05-31T02:52:39Z,2019-11-18T19:54:29Z,0
hackforla,food-oasis-la,46,idea,,False,2017-05-31T02:52:39Z,2019-11-18T19:54:29Z,0
hackforla,food-oasis-la,45,code,,False,2017-05-31T02:17:41Z,2019-11-18T19:54:29Z,0
hackforla,food-oasis-la,45,idea,,False,2017-05-31T02:17:41Z,2019-11-18T19:54:29Z,0
hackforla,food-oasis-la,44,null,null,null,2017-05-27T01:03:40Z,2017-05-31T03:41:16Z,0
hackforla,food-oasis-la,43,null,null,null,2017-05-27T00:58:35Z,2017-06-01T00:54:19Z,0
hackforla,food-oasis-la,42,code,,False,2017-05-25T21:37:25Z,2017-05-31T02:28:45Z,1
hackforla,food-oasis-la,42,beginner friendly,,False,2017-05-25T21:37:25Z,2017-05-31T02:28:45Z,1
hackforla,food-oasis-la,41,bug,,True,2017-05-24T21:35:41Z,2019-11-18T19:54:09Z,0
hackforla,food-oasis-la,41,code,,False,2017-05-24T21:35:41Z,2019-11-18T19:54:09Z,0
hackforla,food-oasis-la,40,null,null,null,2017-05-24T04:00:47Z,2017-06-01T00:54:25Z,0
hackforla,food-oasis-la,39,null,null,null,2017-05-24T03:57:21Z,2017-05-24T03:59:30Z,0
hackforla,food-oasis-la,38,null,null,null,2017-05-24T03:54:54Z,2017-05-24T03:56:21Z,0
hackforla,food-oasis-la,37,null,null,null,2017-05-24T03:52:44Z,2017-05-24T03:53:17Z,0
hackforla,food-oasis-la,36,null,null,null,2017-05-24T03:30:31Z,2017-06-01T00:54:30Z,0
hackforla,food-oasis-la,35,null,null,null,2017-05-21T00:46:08Z,2017-05-21T01:08:47Z,0
hackforla,food-oasis-la,34,null,null,null,2017-05-19T23:09:46Z,2017-05-19T23:34:11Z,0
hackforla,food-oasis-la,33,code,,False,2017-03-23T18:55:15Z,2017-03-29T04:51:55Z,1
hackforla,food-oasis-la,32,null,null,null,2017-03-22T16:41:08Z,2017-03-30T06:03:14Z,0
hackforla,food-oasis-la,31,null,null,null,2017-03-22T03:39:47Z,2017-03-22T03:39:53Z,0
hackforla,food-oasis-la,30,null,null,null,2017-03-22T02:21:00Z,2017-03-22T02:26:13Z,0
hackforla,food-oasis-la,29,null,null,null,2017-03-15T03:57:11Z,2017-03-15T06:04:39Z,0
hackforla,food-oasis-la,28,code,,False,2017-03-14T19:36:54Z,2017-03-17T21:58:03Z,0
hackforla,food-oasis-la,27,design,,False,2017-03-14T19:07:43Z,2017-03-17T05:51:11Z,0
hackforla,food-oasis-la,27,code,,False,2017-03-14T19:07:43Z,2017-03-17T05:51:11Z,0
hackforla,food-oasis-la,26,code,,False,2017-03-14T17:57:20Z,2017-03-17T21:58:34Z,0
hackforla,food-oasis-la,23,code,,False,2017-02-10T23:59:40Z,2017-06-14T18:21:13Z,0
hackforla,food-oasis-la,23,beginner friendly,,False,2017-02-10T23:59:40Z,2017-06-14T18:21:13Z,0
hackforla,food-oasis-la,22,null,null,null,2017-01-17T05:04:04Z,2017-06-01T05:48:57Z,0
hackforla,food-oasis-la,21,null,null,null,2017-01-11T03:48:05Z,2017-01-18T01:48:52Z,0
hackforla,food-oasis-la,20,null,null,null,2017-01-04T04:53:12Z,2017-01-04T04:53:34Z,0
hackforla,food-oasis-la,19,design,,False,2016-12-21T20:26:21Z,2019-11-18T19:53:28Z,0
hackforla,food-oasis-la,19,translation,,False,2016-12-21T20:26:21Z,2019-11-18T19:53:28Z,0
hackforla,food-oasis-la,19,beginner friendly,,False,2016-12-21T20:26:21Z,2019-11-18T19:53:28Z,0
hackforla,food-oasis-la,19,1,,False,2016-12-21T20:26:21Z,2019-11-18T19:53:28Z,0
hackforla,food-oasis-la,18,code,,False,2016-12-20T07:38:29Z,2017-01-28T00:30:03Z,0
hackforla,food-oasis-la,17,beginner friendly,,False,2016-12-20T04:49:49Z,2017-03-23T17:26:01Z,0
hackforla,food-oasis-la,16,translation,,False,2016-12-19T10:14:27Z,2019-11-03T22:47:48Z,0
hackforla,food-oasis-la,16,2,,False,2016-12-19T10:14:27Z,2019-11-03T22:47:48Z,0
hackforla,food-oasis-la,15,translation,,False,2016-12-19T08:12:09Z,2017-06-14T18:26:12Z,0
hackforla,food-oasis-la,15,beginner friendly,,False,2016-12-19T08:12:09Z,2017-06-14T18:26:12Z,0
hackforla,food-oasis-la,14,translation,,False,2016-12-19T07:23:01Z,2019-11-03T22:47:14Z,0
hackforla,food-oasis-la,14,beginner friendly,,False,2016-12-19T07:23:01Z,2019-11-03T22:47:14Z,0
hackforla,food-oasis-la,14,2,,False,2016-12-19T07:23:01Z,2019-11-03T22:47:14Z,0
hackforla,food-oasis-la,13,code,,False,2016-12-19T03:44:33Z,2017-02-10T21:53:55Z,0
hackforla,food-oasis-la,13,beginner friendly,,False,2016-12-19T03:44:33Z,2017-02-10T21:53:55Z,0
hackforla,food-oasis-la,12,idea,,False,2016-12-18T22:08:12Z,2017-06-23T02:05:42Z,0
hackforla,food-oasis-la,8,design,,False,2016-11-24T02:56:15Z,2017-02-11T00:07:40Z,0
hackforla,food-oasis-la,8,code,,False,2016-11-24T02:56:15Z,2017-02-11T00:07:40Z,0
hackforla,food-oasis-la,6,idea,,False,2016-11-07T05:11:11Z,2017-07-26T02:15:45Z,0
hackforla,food-oasis-la,4,design,,False,2016-11-07T05:09:25Z,2017-01-07T03:11:21Z,0
hackforla,food-oasis-la,4,code,,False,2016-11-07T05:09:25Z,2017-01-07T03:11:21Z,0
hackforla,food-oasis-la,4,beginner friendly,,False,2016-11-07T05:09:25Z,2017-01-07T03:11:21Z,0
hackforla,food-oasis-la,3,code,,False,2016-11-07T05:07:55Z,2017-02-10T21:54:36Z,0
hackforla,food-oasis-la,2,code,,False,2016-11-07T05:04:08Z,2017-02-10T21:56:33Z,0
hackforla,food-oasis-la,1,code,,False,2016-10-23T19:33:50Z,2017-02-10T23:30:58Z,0
hackforla,dwc-data,6,null,null,null,2016-10-28T21:29:59Z,2016-10-28T21:56:44Z,0
hackforla,dwc-data,5,null,null,null,2016-10-28T20:43:07Z,,0
hackforla,dwc-data,4,null,null,null,2016-10-28T20:41:05Z,,0
hackforla,dwc-data,3,null,null,null,2016-10-28T20:38:56Z,,0
hackforla,dwc-data,2,null,null,null,2016-10-28T20:35:20Z,,0
hackforla,dwc-data,1,null,null,null,2016-10-28T20:23:01Z,,0
hackforla,la-twitter,4,null,null,null,2017-10-11T02:32:44Z,2017-12-06T04:05:22Z,0
hackforla,la-twitter,3,null,null,null,2017-03-29T17:10:09Z,,0
hackforla,la-twitter,2,null,null,null,2017-03-22T00:12:35Z,2017-03-29T17:04:17Z,0
hackforla,la-twitter,1,null,null,null,2017-03-09T22:35:56Z,,0
hackforla,adopt-civic-art,43,null,null,null,2019-05-01T03:57:14Z,,0
hackforla,adopt-civic-art,42,[Development] DevOps,,False,2017-10-25T02:27:48Z,,1
hackforla,adopt-civic-art,41,[Development] Back-end,,False,2017-10-11T02:43:50Z,2017-10-30T22:16:31Z,1
hackforla,adopt-civic-art,40,[Development] Back-end,,False,2017-10-11T02:42:21Z,2017-12-09T03:53:06Z,1
hackforla,adopt-civic-art,40,Pre-Launch,,False,2017-10-11T02:42:21Z,2017-12-09T03:53:06Z,1
hackforla,adopt-civic-art,39,Help Wanted,,False,2017-10-11T02:38:11Z,,1
hackforla,adopt-civic-art,39,[Development] Back-end,,False,2017-10-11T02:38:11Z,,1
hackforla,adopt-civic-art,38,[Development] Front-end,,False,2017-10-04T21:44:00Z,2017-12-14T16:15:39Z,3
hackforla,adopt-civic-art,38,Design,,False,2017-10-04T21:44:00Z,2017-12-14T16:15:39Z,3
hackforla,adopt-civic-art,37,[Development] Back-end,,False,2017-10-02T21:07:33Z,,3
hackforla,adopt-civic-art,37,[Development] Front-end,,False,2017-10-02T21:07:33Z,,3
hackforla,adopt-civic-art,37,Design,,False,2017-10-02T21:07:33Z,,3
hackforla,adopt-civic-art,37,Pre-Launch,,False,2017-10-02T21:07:33Z,,3
hackforla,adopt-civic-art,36,[Development] Front-end,,False,2017-09-20T03:03:27Z,2017-10-30T22:18:20Z,2
hackforla,adopt-civic-art,36,Design,,False,2017-09-20T03:03:27Z,2017-10-30T22:18:20Z,2
hackforla,adopt-civic-art,35,[Development] Front-end,,False,2017-09-13T02:45:23Z,,2
hackforla,adopt-civic-art,35,Design,,False,2017-09-13T02:45:23Z,,2
hackforla,adopt-civic-art,35,Pre-Launch,,False,2017-09-13T02:45:23Z,,2
hackforla,adopt-civic-art,34,Administration,,False,2017-09-13T01:57:43Z,,1
hackforla,adopt-civic-art,33,Help Wanted,,False,2017-09-06T03:18:16Z,,1
hackforla,adopt-civic-art,33,[Development] Back-end,,False,2017-09-06T03:18:16Z,,1
